tv;radio;periodico;ventas
230.1;37.8;69.2;22.1
44.5;39.3;45.1;7.9
17.2;45.9;69.3;7.1
151.5;41.3;58.5;13.2
180.8;10.8;58.4;12.9
8.7;48.9;75.0;5.5
57.5;32.8;23.5;8.8
120.2;14.6;8.6;10.0
8.6;9.3;3.6;4.1
199.8;32.9;61.9;15.3
8.6;3.2;90.1;2.1
11.7;44.7;15.8;7.6
35.1;14.3;5.5;5.9
16.7;31.3;5.4;7.0
147.3;4.7;61.3;9.7
121.0;34.9;58.1;11.2
42.3;28.3;18.3;7.7
129.4;22.1;8.6;11.3
30.2;10.4;31.1;5.1
259.7;40.3;13.7;19.5
141.3;42.3;61.2;12.8
47.4;5.4;80.4;4.3
17.3;18.2;9.4;5.6
64.1;29.3;14.2;8.6
70.5;31.0;9.6;9.6
19.8;33.4;37.4;6.6
69.2;31.2;33.2;8.9
28.9;22.8;3.5;6.6
224.4;28.5;90.0;15.1
131.1;14.5;6.2;10.9
57.4;9.4;6.6;6.4
196.4;23.6;13.9;15.0
